heure_aggr,TP_s,date,heure,jour
2018-07-14 01:00:00,529.2820361953334,2018-07-14 01:00:00,01:00,2018/07/14
2018-07-14 01:06:00,500.4846899961667,2018-07-14 01:06:00,01:06,2018/07/14
2018-07-14 01:12:00,542.7120515993333,2018-07-14 01:12:00,01:12,2018/07/14
2018-07-14 01:18:00,586.1646935999999,2018-07-14 01:18:00,01:18,2018/07/14
2018-07-14 01:24:00,565.3306757991667,2018-07-14 01:24:00,01:24,2018/07/14
2018-07-14 01:30:00,507.34956419349993,2018-07-14 01:30:00,01:30,2018/07/14
2018-07-14 01:36:00,491.9479535928333,2018-07-14 01:36:00,01:36,2018/07/14
2018-07-14 01:42:00,440.65192439933327,2018-07-14 01:42:00,01:42,2018/07/14
2018-07-14 01:48:00,452.5492511986667,2018-07-14 01:48:00,01:48,2018/07/14
2018-07-14 01:54:00,466.85168759900006,2018-07-14 01:54:00,01:54,2018/07/14
2018-07-14 02:00:00,467.13223079900007,2018-07-14 02:00:00,02:00,2018/07/14
2018-07-14 02:06:00,467.155519199,2018-07-14 02:06:00,02:06,2018/07/14
2018-07-14 02:12:00,476.57930159866663,2018-07-14 02:12:00,02:12,2018/07/14
2018-07-14 02:18:00,550.9073531985,2018-07-14 02:18:00,02:18,2018/07/14
2018-07-14 02:24:00,532.6507703925,2018-07-14 02:24:00,02:24,2018/07/14
2018-07-14 02:30:00,500.47875119450003,2018-07-14 02:30:00,02:30,2018/07/14
2018-07-14 02:36:00,479.87093159716665,2018-07-14 02:36:00,02:36,2018/07/14
2018-07-14 02:42:00,467.02658759800005,2018-07-14 02:42:00,02:42,2018/07/14
2018-07-14 02:48:00,480.95577359749996,2018-07-14 02:48:00,02:48,2018/07/14
2018-07-14 02:54:00,520.1727413928332,2018-07-14 02:54:00,02:54,2018/07/14
2018-07-14 03:00:00,511.1217653968333,2018-07-14 03:00:00,03:00,2018/07/14
2018-07-14 03:06:00,494.71017899349994,2018-07-14 03:06:00,03:06,2018/07/14
2018-07-14 03:12:00,479.72341859299996,2018-07-14 03:12:00,03:12,2018/07/14
2018-07-14 03:18:00,492.79665119350005,2018-07-14 03:18:00,03:18,2018/07/14
2018-07-14 03:24:00,508.0948841955,2018-07-14 03:24:00,03:24,2018/07/14
2018-07-14 03:30:00,535.9669385935,2018-07-14 03:30:00,03:30,2018/07/14
2018-07-14 03:36:00,504.4332137956667,2018-07-14 03:36:00,03:36,2018/07/14
2018-07-14 03:42:00,491.67342959399997,2018-07-14 03:42:00,03:42,2018/07/14
2018-07-14 03:48:00,481.8710663951667,2018-07-14 03:48:00,03:48,2018/07/14
2018-07-14 03:54:00,507.7163597951667,2018-07-14 03:54:00,03:54,2018/07/14
2018-07-14 04:00:00,471.20516699850003,2018-07-14 04:00:00,04:00,2018/07/14
2018-07-14 04:06:00,469.7059913975,2018-07-14 04:06:00,04:06,2018/07/14
2018-07-14 04:12:00,492.6424469916667,2018-07-14 04:12:00,04:12,2018/07/14
2018-07-14 04:18:00,529.5475217938333,2018-07-14 04:18:00,04:18,2018/07/14
2018-07-14 04:24:00,478.36721759333335,2018-07-14 04:24:00,04:24,2018/07/14
2018-07-14 04:30:00,475.3409435938333,2018-07-14 04:30:00,04:30,2018/07/14
2018-07-14 04:36:00,490.7539139958333,2018-07-14 04:36:00,04:36,2018/07/14
2018-07-14 04:42:00,487.57582919450005,2018-07-14 04:42:00,04:42,2018/07/14
2018-07-14 04:48:00,487.6015523955,2018-07-14 04:48:00,04:48,2018/07/14
2018-07-14 04:54:00,496.38211379599994,2018-07-14 04:54:00,04:54,2018/07/14
2018-07-14 05:00:00,513.3641645946667,2018-07-14 05:00:00,05:00,2018/07/14
2018-07-14 05:06:00,495.81840299633336,2018-07-14 05:06:00,05:06,2018/07/14
2018-07-14 05:12:00,470.7456881978333,2018-07-14 05:12:00,05:12,2018/07/14
2018-07-14 05:18:00,467.0792993983334,2018-07-14 05:18:00,05:18,2018/07/14
2018-07-14 05:24:00,500.49832799483335,2018-07-14 05:24:00,05:24,2018/07/14
2018-07-14 05:30:00,501.134071796,2018-07-14 05:30:00,05:30,2018/07/14
2018-07-14 05:36:00,485.9627543975,2018-07-14 05:36:00,05:36,2018/07/14
2018-07-14 05:42:00,484.33562279849997,2018-07-14 05:42:00,05:42,2018/07/14
2018-07-14 05:48:00,509.781954591,2018-07-14 05:48:00,05:48,2018/07/14
2018-07-14 05:54:00,462.4488545878333,2018-07-14 05:54:00,05:54,2018/07/14
2018-07-14 06:00:00,485.1578195873333,2018-07-14 06:00:00,06:00,2018/07/14
2018-07-14 06:06:00,508.3528685978334,2018-07-14 06:06:00,06:06,2018/07/14
2018-07-14 06:12:00,487.7244269926666,2018-07-14 06:12:00,06:12,2018/07/14
2018-07-14 06:18:00,447.31274099816665,2018-07-14 06:18:00,06:18,2018/07/14
2018-07-14 06:24:00,466.7567051948334,2018-07-14 06:24:00,06:24,2018/07/14
2018-07-14 06:30:00,480.0406085894999,2018-07-14 06:30:00,06:30,2018/07/14
2018-07-14 06:36:00,502.50776999666664,2018-07-14 06:36:00,06:36,2018/07/14
2018-07-14 06:42:00,494.0341127996666,2018-07-14 06:42:00,06:42,2018/07/14
2018-07-14 06:48:00,486.2958797973333,2018-07-14 06:48:00,06:48,2018/07/14
2018-07-14 06:54:00,466.253231395,2018-07-14 06:54:00,06:54,2018/07/14
